City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Semey,KZ,2021-07-22 14:31:26,50.4111,80.2275,80.82,41,0,11.18
1,Ushuaia,AR,2021-07-22 14:30:16,-54.8,-68.3,40.66,75,75,9.22
2,Mataura,NZ,2021-07-22 14:31:27,-46.1927,168.8643,40.48,97,9,2.08
3,Sambava,MG,2021-07-22 14:31:27,-14.2667,50.1667,70.9,82,1,11.88
4,Georgetown,MY,2021-07-22 14:31:28,5.4112,100.3354,87.89,64,20,3.44
5,Kapaa,US,2021-07-22 14:31:29,22.0752,-159.319,77.32,84,90,3.0
6,Albany,US,2021-07-22 14:31:29,42.6001,-73.9662,74.32,72,95,8.08
7,Hobart,AU,2021-07-22 14:31:29,-42.8794,147.3294,52.27,57,100,5.99
8,Lethem,GY,2021-07-22 14:31:29,3.3803,-59.7968,86.81,62,19,3.98
9,Bluff,NZ,2021-07-22 14:31:29,-46.6,168.3333,40.8,81,69,12.66
10,Chunoyar,RU,2021-07-22 14:31:30,57.4467,97.3217,58.05,78,14,3.13
11,Isangel,VU,2021-07-22 14:31:30,-19.55,169.2667,73.8,88,99,9.42
12,Kamyshin,RU,2021-07-22 14:31:30,50.0983,45.416,76.82,54,98,15.39
13,Hermanus,ZA,2021-07-22 14:31:30,-34.4187,19.2345,54.9,64,72,8.77
14,Iqaluit,CA,2021-07-22 14:27:19,63.7506,-68.5145,49.73,71,75,15.99
15,East London,ZA,2021-07-22 14:31:31,-33.0153,27.9116,54.54,50,20,34.52
16,Byron Bay,AU,2021-07-22 14:31:31,-28.65,153.6167,52.88,86,23,6.22
17,Provideniya,RU,2021-07-22 14:31:31,64.3833,-173.3,42.87,77,100,3.31
18,Saldanha,ZA,2021-07-22 14:31:31,-33.0117,17.9442,55.45,63,8,11.1
19,Rikitea,PF,2021-07-22 14:31:32,-23.1203,-134.9692,71.91,72,12,11.79
20,Marzuq,YE,2021-07-22 14:31:32,14.4,46.4667,85.66,47,74,8.81
21,Cidreira,BR,2021-07-22 14:31:32,-30.1811,-50.2056,61.02,64,6,12.57
22,Arki,IN,2021-07-22 14:31:32,31.15,76.9667,73.72,84,92,2.39
23,Souillac,MU,2021-07-22 14:31:32,-20.5167,57.5167,71.98,68,20,12.66
24,Chuy,UY,2021-07-22 14:31:32,-33.6971,-53.4616,56.98,62,16,7.65
25,Teahupoo,PF,2021-07-22 14:31:33,-17.8333,-149.2667,66.16,73,11,11.34
26,Tias,ES,2021-07-22 14:31:33,28.9611,-13.645,80.35,61,20,24.16
27,Busselton,AU,2021-07-22 14:31:33,-33.65,115.3333,55.09,73,100,15.12
28,Walvis Bay,NA,2021-07-22 14:31:33,-22.9575,14.5053,76.15,22,0,16.11
29,Atuona,PF,2021-07-22 14:31:33,-9.8,-139.0333,76.98,76,100,13.11
30,Jamestown,US,2021-07-22 14:31:34,42.097,-79.2353,68.52,82,1,8.05
31,Barrow,US,2021-07-22 14:31:34,71.2906,-156.7887,35.62,93,90,14.97
32,Saskylakh,RU,2021-07-22 14:31:34,71.9167,114.0833,60.04,60,89,15.46
33,Matamoros,MX,2021-07-22 14:31:34,25.5333,-103.25,73.11,66,75,4.25
34,Horki,BY,2021-07-22 14:31:34,54.2861,30.9842,71.13,44,14,11.01
35,Lebu,CL,2021-07-22 14:31:34,-37.6167,-73.65,52.3,77,99,3.13
36,Lazaro Cardenas,MX,2021-07-22 14:31:35,17.9583,-102.2,81.81,77,73,4.61
37,Severo-Kurilsk,RU,2021-07-22 14:31:35,50.6789,156.125,49.57,95,60,4.54
38,New Norfolk,AU,2021-07-22 14:31:35,-42.7826,147.0587,51.93,61,100,1.01
39,Pingliang,CN,2021-07-22 14:31:35,35.5392,106.6861,70.63,89,96,7.47
40,Goderich,CA,2021-07-22 14:31:36,43.7501,-81.7165,70.21,77,27,5.75
41,Bengkulu,ID,2021-07-22 14:31:36,-3.8004,102.2655,76.82,83,27,3.67
42,Cape Town,ZA,2021-07-22 14:30:04,-33.9258,18.4232,58.1,63,40,3.0
43,Asau,RO,2021-07-22 14:31:37,46.4333,26.4,74.32,75,63,6.78
44,Aquin,HT,2021-07-22 14:31:37,18.2833,-73.4,83.98,69,72,4.81
45,Qaanaaq,GL,2021-07-22 14:31:38,77.484,-69.3632,43.75,69,72,6.78
46,Biak,ID,2021-07-22 14:31:38,-0.9131,122.8766,74.44,89,100,8.23
47,Kajaani,FI,2021-07-22 14:30:38,64.2273,27.7285,59.05,72,0,14.97
48,Hilo,US,2021-07-22 14:31:38,19.7297,-155.09,73.13,88,75,4.61
49,Norman Wells,CA,2021-07-22 14:31:38,65.282,-126.8329,60.84,82,75,3.44
50,Ancud,CL,2021-07-22 14:29:29,-41.8697,-73.8203,49.53,93,100,13.8
51,Plettenberg Bay,ZA,2021-07-22 14:31:39,-34.0527,23.3716,48.96,79,100,12.41
52,Alta,NO,2021-07-22 14:31:39,69.9689,23.2717,49.24,84,75,10.0
53,Lagoa,PT,2021-07-22 14:28:40,39.05,-27.9833,67.21,75,57,12.68
54,Saint-Philippe,RE,2021-07-22 14:31:39,-21.3585,55.7679,71.19,74,51,12.46
55,Klyuchi,RU,2021-07-22 14:31:40,52.2667,79.1667,72.84,50,23,11.72
56,Qui Nhon,VN,2021-07-22 14:31:40,13.7667,109.2333,84.24,66,100,14.32
57,Houma,US,2021-07-22 14:31:40,29.5958,-90.7195,87.8,78,40,3.44
58,Waingapu,ID,2021-07-22 14:31:40,-9.6567,120.2641,73.09,82,26,5.14
59,Spirit River,CA,2021-07-22 14:31:41,55.7833,-118.8361,54.75,59,1,19.06
60,Avarua,CK,2021-07-22 14:31:41,-21.2078,-159.775,69.85,100,16,2.3
61,Punta Arenas,CL,2021-07-22 14:31:41,-53.15,-70.9167,33.91,93,40,5.75
62,Coihaique,CL,2021-07-22 14:31:41,-45.5752,-72.0662,48.81,93,75,5.75
63,Deskati,GR,2021-07-22 14:31:41,39.9225,21.8028,84.92,19,3,5.01
64,Zhanaozen,KZ,2021-07-22 14:31:42,43.3,52.8,100.62,14,31,9.26
65,Lysva,RU,2021-07-22 14:31:42,58.1086,57.8053,62.94,97,100,11.3
66,Arraial Do Cabo,BR,2021-07-22 14:31:42,-22.9661,-42.0278,75.16,78,20,4.61
67,Atikokan,CA,2021-07-22 14:31:42,48.7555,-91.6216,67.89,52,98,5.86
68,Opuwo,NA,2021-07-22 14:31:42,-18.0607,13.84,78.69,11,0,13.56
69,Iralaya,HN,2021-07-22 14:31:42,15.0,-83.2333,84.29,76,70,15.99
70,Daru,PG,2021-07-22 14:31:43,-9.0763,143.2092,76.73,79,100,13.65
71,Kikwit,CD,2021-07-22 14:31:43,-5.041,18.8162,97.92,13,76,4.25
72,Elizabeth City,US,2021-07-22 14:31:43,36.2946,-76.2511,81.01,77,20,10.36
73,Honningsvag,NO,2021-07-22 14:31:43,70.9821,25.9704,44.46,73,94,27.81
74,Amga,RU,2021-07-22 14:31:43,60.8953,131.9608,61.41,71,66,2.06
75,Khatanga,RU,2021-07-22 14:31:43,71.9667,102.5,56.75,80,83,6.89
76,Ambilobe,MG,2021-07-22 14:31:44,-13.2,49.05,73.47,46,2,5.59
77,Airai,TL,2021-07-22 14:31:44,-8.9266,125.4092,55.36,62,0,1.86
78,Torbay,CA,2021-07-22 14:31:44,47.6666,-52.7314,56.28,99,90,9.22
79,Victoria,HK,2021-07-22 14:30:01,22.2855,114.1577,85.95,79,38,1.01
80,Shenzhen,CN,2021-07-22 14:29:41,22.5455,114.0683,85.84,74,53,5.91
81,Talnakh,RU,2021-07-22 14:31:44,69.4865,88.3972,59.58,94,100,19.51
82,Sept-Iles,CA,2021-07-22 14:31:45,50.2001,-66.3821,66.72,59,75,10.36
83,Port Alfred,ZA,2021-07-22 14:31:45,-33.5906,26.891,51.96,73,100,26.91
84,Azangaro,PE,2021-07-22 14:31:45,-14.9167,-70.2167,47.93,30,0,2.48
85,Ust-Ilimsk,RU,2021-07-22 14:31:46,58.0006,102.6619,56.44,96,27,5.19
86,Moissala,TD,2021-07-22 14:31:46,8.3404,17.7663,77.14,79,100,6.46
87,Urucara,BR,2021-07-22 14:31:46,-2.5364,-57.76,91.44,47,60,4.88
88,Pionerskiy,RU,2021-07-22 14:31:47,54.9508,20.2275,73.24,59,40,8.7
89,Bethel,US,2021-07-22 14:31:47,41.3712,-73.414,77.05,70,1,1.99
90,Isla Mujeres,MX,2021-07-22 14:31:47,21.2311,-86.731,87.85,71,1,9.15
91,Banikoara,BJ,2021-07-22 14:31:47,11.2985,2.4386,89.55,46,81,5.57
92,Bukama,CD,2021-07-22 14:31:48,-9.2,25.85,92.03,16,3,7.25
93,Longyearbyen,SJ,2021-07-22 14:31:48,78.2186,15.6401,48.04,66,75,12.66
94,Ponta Do Sol,PT,2021-07-22 14:31:48,32.6667,-17.1,81.72,69,0,5.97
95,Tasiilaq,GL,2021-07-22 14:29:42,65.6145,-37.6368,46.56,97,100,11.36
96,Jalu,LY,2021-07-22 14:31:48,29.0331,21.5482,96.35,22,3,13.31
97,Kieta,PG,2021-07-22 14:31:49,-6.2167,155.6333,78.62,87,99,3.02
98,Bonthe,SL,2021-07-22 14:31:49,7.5264,-12.505,80.17,77,75,11.1
99,Ahuimanu,US,2021-07-22 14:31:49,21.4447,-157.8378,78.51,75,75,11.5
100,Lorengau,PG,2021-07-22 14:31:49,-2.0226,147.2712,81.36,80,45,6.8
101,Lavrentiya,RU,2021-07-22 14:31:49,65.5833,-171.0,37.11,94,100,5.06
102,Kodiak,US,2021-07-22 14:31:50,57.79,-152.4072,52.41,98,100,9.24
103,Nikolskoye,RU,2021-07-22 14:31:50,59.7035,30.7861,69.4,41,96,10.96
104,Kungurtug,RU,2021-07-22 14:31:50,50.5994,97.5228,63.7,64,100,2.75
105,Puerto Ayora,EC,2021-07-22 14:31:50,-0.7393,-90.3518,73.36,93,100,5.99
106,Chemal,RU,2021-07-22 14:31:50,51.4111,86.005,69.37,91,100,1.92
107,Moundou,TD,2021-07-22 14:31:50,8.5667,16.0833,79.61,80,100,1.21
108,Yulara,AU,2021-07-22 14:31:51,-25.2406,130.9889,53.44,47,3,8.05
109,Vaini,TO,2021-07-22 14:31:51,-21.2,-175.2,69.96,94,75,3.44
110,Puerto Ayacucho,VE,2021-07-22 14:31:51,5.6639,-67.6236,74.55,95,100,2.86
111,Kruisfontein,ZA,2021-07-22 14:31:51,-34.0033,24.7314,45.88,71,100,20.85
112,Marsh Harbour,BS,2021-07-22 14:31:51,26.5412,-77.0636,84.06,72,63,6.91
113,Hithadhoo,MV,2021-07-22 14:29:45,-0.6,73.0833,81.86,76,100,12.64
114,Pevek,RU,2021-07-22 14:31:52,69.7008,170.3133,38.77,74,94,2.21
115,Chokurdakh,RU,2021-07-22 14:31:52,70.6333,147.9167,38.21,84,63,7.9
116,Dumas,US,2021-07-22 14:31:52,35.8656,-101.9732,73.65,60,1,10.36
117,Aklavik,CA,2021-07-22 14:31:52,68.2191,-135.0107,56.12,94,75,14.97
118,Jamu Mare,RO,2021-07-22 14:31:52,45.2542,21.4169,82.45,35,40,6.91
119,Upernavik,GL,2021-07-22 14:31:52,72.7868,-56.1549,40.55,95,100,5.77
120,Sechura,PE,2021-07-22 14:31:53,-5.5569,-80.8222,70.72,66,23,9.44
121,Bilibino,RU,2021-07-22 14:31:53,68.0546,166.4372,51.3,47,99,3.83
122,San Patricio,US,2021-07-22 14:31:53,28.017,-97.5169,82.83,81,95,2.17
123,Necochea,AR,2021-07-22 14:31:53,-38.5473,-58.7368,56.03,49,93,14.25
124,Dikson,RU,2021-07-22 14:31:54,73.5069,80.5464,52.34,91,100,31.97
125,Esperance,AU,2021-07-22 14:31:54,-33.8667,121.9,51.64,71,22,15.86
126,Korla,CN,2021-07-22 14:31:54,41.7597,86.1469,89.22,20,87,6.11
127,Magnitogorsk,RU,2021-07-22 14:30:03,53.4186,59.0472,74.23,68,75,13.42
128,Nowogard,PL,2021-07-22 14:31:55,53.6744,15.1163,73.8,56,40,11.5
129,Dingle,PH,2021-07-22 14:31:55,10.9995,122.6711,77.88,82,100,12.84
130,Nanortalik,GL,2021-07-22 14:31:56,60.1432,-45.2371,44.98,85,50,13.31
131,La Palma,US,2021-07-22 14:31:56,33.8464,-118.0467,81.36,85,40,3.0
132,Thompson,CA,2021-07-22 14:31:57,55.7435,-97.8558,66.36,77,75,4.61
133,Tautira,PF,2021-07-22 14:31:57,-17.7333,-149.15,71.62,72,9,11.61
134,Corsicana,US,2021-07-22 14:31:57,32.0954,-96.4689,82.26,82,1,3.0
135,Wajima,JP,2021-07-22 14:31:57,37.4,136.9,77.05,87,16,4.52
136,Butaritari,KI,2021-07-22 14:31:57,3.0707,172.7902,81.73,79,45,13.53
137,Urumqi,CN,2021-07-22 14:31:58,43.801,87.6005,79.75,36,20,6.71
138,Matagami,CA,2021-07-22 14:31:58,49.7502,-77.6328,55.51,94,90,2.3
139,Belaya Gora,RU,2021-07-22 14:31:58,68.5333,146.4167,50.2,73,0,6.85
140,Bhanpuri,IN,2021-07-22 14:31:58,21.1,80.9167,84.58,73,100,4.07
141,Alice Springs,AU,2021-07-22 14:31:16,-23.7,133.8833,63.95,32,9,8.05
142,Kutum,SD,2021-07-22 14:31:59,14.2,24.6667,77.4,56,91,8.16
143,Skjervoy,NO,2021-07-22 14:31:01,70.0311,20.9714,46.49,88,100,15.05
144,Novorozhdestvenskaya,RU,2021-07-22 14:31:59,45.8619,39.9542,87.22,40,86,16.06
145,Prainha,BR,2021-07-22 14:31:59,-1.8,-53.48,86.95,58,40,5.39
146,Tuktoyaktuk,CA,2021-07-22 14:31:59,69.4541,-133.0374,48.2,100,90,13.8
147,Mitu,CO,2021-07-22 14:32:00,1.1983,-70.1733,75.6,95,93,2.3
148,Yellowknife,CA,2021-07-22 14:32:00,62.456,-114.3525,61.32,94,75,8.05
149,Ixtapa,MX,2021-07-22 14:32:00,20.7,-105.2,84.22,78,23,3.0
150,Quatre Cocos,MU,2021-07-22 14:32:00,-20.2078,57.7625,71.71,68,34,17.2
151,Finote Selam,ET,2021-07-22 14:32:00,10.7,37.2667,59.99,94,100,3.22
152,Helong,CN,2021-07-22 14:32:00,42.5397,128.9972,73.72,80,77,3.91
153,Hamilton,US,2021-07-22 14:32:01,39.1834,-84.5333,75.22,65,1,1.01
154,Bilma,NE,2021-07-22 14:32:01,18.6853,12.9164,108.5,12,52,5.77
155,Maine-Soroa,NE,2021-07-22 14:32:01,13.2114,12.0241,94.87,37,90,11.65
156,Kudahuvadhoo,MV,2021-07-22 14:32:01,2.6708,72.8944,82.36,74,96,11.48
157,Natal,BR,2021-07-22 14:29:18,-5.795,-35.2094,83.05,69,75,14.97
158,Tual,ID,2021-07-22 14:32:02,-5.6667,132.75,79.63,80,62,16.13
159,Caibarien,CU,2021-07-22 14:32:02,22.5206,-79.4669,85.32,72,26,9.24
160,Caravelas,BR,2021-07-22 14:32:03,-17.7125,-39.2481,77.41,56,60,8.61
161,Valkeakoski,FI,2021-07-22 14:32:03,61.2642,24.0312,68.09,55,94,15.14
162,Lima,PE,2021-07-22 14:27:20,-12.0432,-77.0282,61.05,85,90,11.5
163,Damaturu,NG,2021-07-22 14:31:43,11.747,11.9608,90.77,45,88,7.16
164,Trento,IT,2021-07-22 14:30:00,46.0679,11.1211,86.65,68,40,8.01
165,Belmopan,BZ,2021-07-22 14:32:03,17.25,-88.7667,85.28,87,42,7.4
166,Never,FR,2021-07-22 14:28:57,46.9896,3.159,83.95,43,8,8.61
167,Saint-Joseph,RE,2021-07-22 14:30:08,-21.3667,55.6167,70.18,73,63,10.13
168,Shatsk,RU,2021-07-22 14:32:04,54.0258,41.7119,66.38,55,100,12.68
169,Muroto,JP,2021-07-22 14:32:05,33.2833,134.15,77.81,87,100,12.73
170,Praia,CV,2021-07-22 14:32:05,14.9215,-23.5087,86.54,66,20,5.75
171,Palaikastron,GR,2021-07-22 14:32:06,35.2,26.25,81.48,62,0,26.93
172,Ribeira Grande,PT,2021-07-22 14:32:06,38.5167,-28.7,75.6,57,40,12.66
173,Kolpashevo,RU,2021-07-22 14:29:57,58.3131,82.9089,72.37,62,87,4.16
174,Iquique,CL,2021-07-22 14:32:06,-20.2208,-70.1431,57.24,64,6,6.71
175,Manavalakurichi,IN,2021-07-22 14:32:07,8.1333,77.3,82.49,83,100,17.6
176,Tabuk,PH,2021-07-22 14:32:07,17.4189,121.4443,77.05,87,100,1.97
177,Lake Charles,US,2021-07-22 14:32:07,30.2131,-93.2044,84.97,79,1,5.75
178,Tombouctou,ML,2021-07-22 14:32:07,20.0,-3.0,109.58,14,20,16.17
179,Etchoropo,MX,2021-07-22 14:32:07,26.7667,-109.6667,86.23,67,99,9.73
180,Nautla,MX,2021-07-22 14:32:08,20.2167,-96.7833,82.15,72,31,2.35
181,Aksarka,RU,2021-07-22 14:32:08,66.5606,67.7975,56.55,45,5,7.27
182,Luderitz,NA,2021-07-22 14:32:08,-26.6481,15.1594,66.18,37,4,24.38
183,Nouadhibou,MR,2021-07-22 14:32:08,20.931,-17.0347,75.18,60,1,23.02
184,Port Elizabeth,ZA,2021-07-22 14:29:10,-33.918,25.5701,50.29,81,90,17.27
185,Mar Del Plata,AR,2021-07-22 14:32:08,-38.0023,-57.5575,52.12,55,0,15.99
186,Saint-Augustin,CA,2021-07-22 14:32:09,51.226,-58.6502,51.19,86,100,10.71
187,Mancio Lima,BR,2021-07-22 14:32:09,-7.6142,-72.8958,78.87,73,0,6.91
188,Naze,JP,2021-07-22 14:32:09,28.3667,129.4833,76.64,90,100,26.4
189,Faanui,PF,2021-07-22 14:32:09,-16.4833,-151.75,78.33,74,7,14.41
190,Bandarbeyla,SO,2021-07-22 14:32:10,9.4942,50.8122,78.98,78,83,30.58
191,Dunedin,NZ,2021-07-22 14:32:10,-45.8742,170.5036,43.81,72,0,5.61
192,Lima Duarte,BR,2021-07-22 14:32:10,-21.8425,-43.7931,66.76,43,0,5.1
193,Puerto Madero,MX,2021-07-22 14:32:10,14.7208,-92.4215,79.0,100,75,3.44
194,Mandalgovi,MN,2021-07-22 14:27:15,45.7625,106.2708,69.31,50,50,10.83
195,Bredasdorp,ZA,2021-07-22 14:32:11,-34.5322,20.0403,54.72,47,61,8.05
196,Taywarah,AF,2021-07-22 14:32:11,33.35,64.4167,67.64,21,80,16.15
197,Ayan,RU,2021-07-22 14:32:11,56.45,138.1667,64.24,79,8,5.73
198,Koumac,NC,2021-07-22 14:32:11,-20.5667,164.2833,67.19,80,9,6.76
199,Puli,TW,2021-07-22 14:32:11,23.9664,120.9695,80.22,96,100,2.39
200,Srednekolymsk,RU,2021-07-22 14:32:11,67.45,153.6833,54.34,74,55,6.46
201,Yeniseysk,RU,2021-07-22 14:32:12,58.4497,92.1703,61.45,71,98,2.91
202,Noumea,NC,2021-07-22 14:32:12,-22.2763,166.4572,62.58,83,20,4.81
203,Tilichiki,RU,2021-07-22 14:32:12,60.4667,166.1,53.11,72,100,0.6
204,Zapolyarnyy,RU,2021-07-22 14:32:12,69.4154,30.8136,47.48,61,90,24.61
205,Port Macquarie,AU,2021-07-22 14:31:20,-31.4333,152.9167,46.89,100,97,0.0
206,Leningradskiy,RU,2021-07-22 14:32:12,69.3833,178.4167,36.09,81,55,2.8
207,Gat,IL,2021-07-22 14:32:13,31.61,34.7642,87.82,41,0,11.39
208,Kavieng,PG,2021-07-22 14:32:13,-2.5744,150.7967,81.61,79,46,10.78
209,Sao Filipe,CV,2021-07-22 14:32:13,14.8961,-24.4956,76.03,86,31,8.3
210,Meulaboh,ID,2021-07-22 14:32:14,4.1363,96.1285,79.63,80,100,2.01
211,Calama,CL,2021-07-22 14:30:18,-22.4667,-68.9333,63.09,7,0,18.41
212,Brasilia,BR,2021-07-22 14:28:23,-15.7797,-47.9297,77.63,49,20,11.5
213,Hauterive,FR,2021-07-22 14:32:15,46.0901,3.4459,84.96,38,0,5.88
214,Pangoa,PE,2021-07-22 14:32:15,-12.1167,-73.0,78.6,53,0,2.35
215,Hobyo,SO,2021-07-22 14:32:16,5.3505,48.5268,79.48,77,66,32.7
216,Syracuse,IT,2021-07-22 14:31:10,37.0881,15.2792,92.43,57,0,8.59
217,Saint-Paul,RE,2021-07-22 14:31:51,-21.0096,55.2707,71.71,73,92,3.91
218,Gushikawa,JP,2021-07-22 14:32:16,26.3544,127.8686,81.63,94,75,27.63
219,Alyangula,AU,2021-07-22 14:32:17,-13.8483,136.4192,64.27,88,52,0.0
220,Madisonville,US,2021-07-22 14:32:17,37.3281,-87.4989,80.22,71,1,4.16
221,Nago,JP,2021-07-22 14:32:17,26.5881,127.9761,82.47,89,100,28.77
222,Kulhudhuffushi,MV,2021-07-22 14:32:17,6.6221,73.07,82.9,78,100,16.53
223,Zemio,CF,2021-07-22 14:32:17,5.0314,25.1361,76.87,83,98,3.76
224,Gravdal,NO,2021-07-22 14:31:16,68.1214,13.5031,51.48,87,75,11.5
225,Damghan,IR,2021-07-22 14:32:08,36.1683,54.348,94.26,16,65,6.8
226,Brewster,US,2021-07-22 14:32:18,41.3973,-73.6171,77.72,69,1,1.01
227,Jumla,NP,2021-07-22 14:32:18,29.2747,82.1838,65.05,95,98,0.63
228,Vao,NC,2021-07-22 14:32:18,-22.6667,167.4833,69.42,74,0,8.14
229,Villazon,BO,2021-07-22 14:32:19,-22.0866,-65.5942,53.64,17,0,4.18
230,Blagoyevo,RU,2021-07-22 14:32:19,63.3667,47.9167,64.49,35,93,6.93
231,Anaconda,US,2021-07-22 14:32:19,46.1285,-112.9423,54.59,39,0,2.44
232,Rawson,AR,2021-07-22 14:32:19,-43.3002,-65.1023,56.1,41,100,8.14
233,Guane,CU,2021-07-22 14:32:20,22.2025,-84.0875,89.83,54,0,5.64
234,Andenes,NO,2021-07-22 14:32:20,69.3143,16.1194,49.06,81,75,13.8
235,Warmbad,NA,2021-07-22 14:32:20,-28.45,18.7333,54.19,28,0,8.46
236,Tiarei,PF,2021-07-22 14:30:42,-17.5333,-149.3333,71.62,69,1,13.35
